iter	Passed	Remaining
408	4125	5961
409	4134	5949
410	4143	5938
411	4152	5926
412	4160	5914
413	4170	5902
414	4179	5890
415	4188	5879
416	4198	5869
417	4207	5858
418	4216	5847
419	4226	5836
420	4235	5824
421	4244	5813
422	4255	5804
423	4266	5796
424	4277	5787
425	4287	5777
426	4297	5766
427	4306	5755
428	4316	5745
429	4326	5734
430	4336	5724
431	4345	5713
432	4354	5702
433	4364	5692
434	4374	5681
435	4383	5670
436	4392	5659
437	4403	5649
438	4412	5638
439	4422	5628
440	4432	5617
441	4441	5607
442	4451	5597
443	4461	5587
444	4471	5577
445	4483	5568
446	4493	5558
447	4503	5548
448	4512	5537
449	4521	5526
450	4531	5516
451	4541	5506
452	4551	5495
453	4561	5486
454	4572	5476
455	4581	5465
456	4591	5455
457	4601	5444
458	4610	5434
459	4620	5423
460	4630	5413
461	4639	5402
462	4650	5394
463	4661	5384
464	4671	5374
465	4682	5366
466	4693	5356
467	4704	5347
468	4713	5336
469	4723	5326
470	4733	5315
471	4742	5305
472	4751	5294
473	4760	5282
474	4770	5272
475	4779	5261
476	4788	5249
477	4797	5238
478	4805	5227
479	4815	5216
480	4824	5205
481	4833	5194
482	4843	5184
483	4852	5173
484	4861	5161
485	4869	5150
486	4879	5139
487	4888	5128
488	4897	5117
489	4906	5107
490	4916	5096
491	4928	5088
492	4940	5080
493	4952	5072
494	4963	5063
495	4973	5054
496	4983	5043
497	4993	5033
498	5003	5023
499	5012	5012
500	5022	5002
501	5033	4993
502	5044	4984
503	5054	4974
504	5064	4964
505	5074	4954
506	5083	4942
507	5092	4932
508	5100	4920
509	5109	4909
510	5118	4897
511	5126	4886
512	5135	4875
513	5144	4864
514	5152	4852
515	5161	4841
516	5170	4830
517	5179	4819
518	5188	4808
519	5196	4796
520	5205	4785
521	5213	4774
522	5222	4762
523	5232	4753
524	5241	4742
525	5252	4732
526	5261	4721
527	5270	4711
528	5279	4700
529	5288	4689
530	5297	4679
531	5307	4668
532	5316	4658
533	5325	4647
534	5334	4636
535	5343	4625
536	5352	4614
537	5360	4603
538	5370	4593
539	5379	4582
540	5387	4571
541	5395	4559
542	5403	4548
543	5412	4537
544	5420	4525
545	5429	4514
546	5437	4503
547	5446	4492
548	5454	4481
549	5463	4470
550	5471	4459
551	5480	4448
552	5489	4437
553	5498	4426
554	5507	4416
555	5517	4405
556	5525	4394
557	5535	4384
558	5543	4373
559	5552	4362
560	5561	4352
561	5570	4341
562	5578	4329
563	5586	4318
564	5595	4307
565	5603	4296
566	5612	4285
567	5621	4275
568	5630	4264
569	5638	4253
570	5646	4242
571	5655	4231
572	5666	4222
573	5677	4213
574	5688	4204
575	5698	4194
576	5708	4185
577	5716	4173
578	5725	4162
579	5733	4152
580	5741	4140
581	5750	4129
582	5758	4119
583	5766	4107
584	5775	4096
585	5783	4085
586	5791	4075
587	5800	4064
588	5808	4053
589	5817	4042
590	5825	4031
591	5833	4020
592	5841	4009
593	5849	3998
594	5858	3987
595	5867	3977
596	5877	3967
597	5885	3956
598	5893	3945
599	5902	3934
600	5910	3924
601	5918	3913
602	5927	3902
603	5936	3891
604	5944	3881
605	5953	3870
606	5962	3860
607	5972	3850
608	5981	3840
609	5990	3829
610	6000	3819
611	6009	3810
612	6018	3799
613	6028	3789
614	6037	3779
615	6047	3770
616	6056	3759
617	6065	3749
618	6074	3738
619	6082	3727
620	6091	3717
621	6100	3707
622	6109	3696
623	6117	3686
624	6125	3675
625	6134	3664
626	6144	3655
627	6152	3644
628	6161	3634
629	6170	3624
630	6179	3613
631	6187	3602
632	6195	3592
633	6204	3581
634	6213	3571
635	6222	3561
636	6231	3551
637	6240	3541
638	6249	3530
639	6258	3520
640	6266	3509
641	6275	3499
642	6284	3489
643	6293	3478
644	6302	3468
645	6314	3460
646	6327	3452
647	6339	3443
648	6349	3433
649	6359	3424
650	6368	3414
651	6377	3404
652	6386	3393
653	6395	3383
654	6404	3373
655	6414	3363
656	6423	3353
657	6433	3343
658	6442	3333
659	6452	3323
660	6461	3313
661	6471	3303
662	6480	3294
663	6490	3284
664	6499	3274
665	6508	3264
666	6518	3254
667	6528	3244
668	6538	3234
669	6547	3224
670	6556	3214
671	6566	3204
672	6576	3195
673	6586	3185
674	6596	3176
675	6606	3166
676	6615	3156
677	6626	3146
678	6636	3137
679	6645	3127
680	6655	3117
681	6665	3107
682	6674	3097
683	6684	3087
684	6693	3078
685	6703	3068
686	6713	3058
687	6722	3048
688	6732	3038
689	6741	3028
690	6750	3018
691	6760	3008
692	6769	2999
693	6779	2989
694	6789	2979
695	6799	2969
696	6808	2959
697	6819	2950
698	6829	2940
699	6839	2931
700	6849	2921
701	6859	2911
702	6869	2902
703	6878	2892
704	6888	2882
705	6898	2872
706	6907	2862
707	6917	2852
708	6926	2843
709	6936	2833
710	6946	2823
711	6955	2813
712	6964	2803
713	6974	2793
714	6984	2783
715	6993	2773
716	7003	2764
717	7013	2754
718	7022	2744
719	7032	2734
720	7042	2725
721	7052	2715
722	7061	2705
723	7070	2695
724	7079	2685
725	7089	2675
726	7098	2665
727	7108	2655
728	7117	2645
729	7126	2635
730	7135	2625
731	7145	2615
732	7154	2605
733	7163	2596
734	7172	2585
735	7181	2576
736	7190	2566
737	7200	2556
738	7210	2546
739	7220	2536
740	7230	2527
741	7239	2517
742	7248	2507
743	7257	2497
744	7266	2487
745	7276	2477
746	7285	2467
747	7295	2457
748	7304	2447
749	7313	2437
750	7323	2428
751	7332	2418
752	7342	2408
753	7351	2398
754	7361	2388
755	7370	2378
756	7378	2368
757	7387	2358
758	7396	2348
759	7405	2338
760	7415	2328
761	7425	2319
762	7434	2309
763	7443	2299
764	7454	2289
765	7464	2280
766	7473	2270
767	7482	2260
768	7492	2250
769	7501	2240
770	7511	2231
771	7520	2221
772	7530	2211
773	7540	2201
774	7549	2191
775	7558	2181
776	7567	2171
777	7577	2162
778	7586	2152
779	7596	2142
780	7605	2132
781	7615	2122
782	7624	2113
783	7634	2103
784	7643	2093
785	7653	2083
786	7662	2073
787	7671	2063
788	7680	2053
789	7688	2043
790	7698	2034
791	7707	2024
792	7717	2014
793	7726	2004
794	7735	1994
795	7745	1984
796	7754	1975
797	7764	1965
798	7773	1955
799	7782	1945
800	7792	1935
801	7801	1926
802	7810	1916
803	7818	1906
804	7827	1896
805	7836	1886
806	7846	1876
807	7855	1866
808	7864	1856
809	7873	1846
810	7883	1837
811	7892	1827
812	7901	1817
813	7910	1807
814	7919	1797
815	7928	1787
816	7937	1777
817	7946	1768
818	7955	1758
819	7964	1748
820	7973	1738
821	7982	1728
822	7992	1718
823	8001	1708
824	8010	1699
825	8019	1689
826	8028	1679
827	8038	1669
828	8046	1659
829	8055	1650
830	8065	1640
831	8074	1630
832	8083	1620
833	8092	1610
834	8101	1600
835	8111	1591
836	8120	1581
837	8130	1571
838	8140	1562
839	8149	1552
840	8157	1542
841	8167	1532
842	8177	1522
843	8186	1513
844	8196	1503
845	8205	1493
846	8214	1483
847	8224	1474
848	8234	1464
849	8243	1454
850	8253	1445
851	8263	1435
852	8273	1425
853	8282	1415
854	8292	1406
855	8301	1396
856	8311	1386
857	8320	1377
858	8331	1367
859	8342	1358
860	8352	1348
861	8362	1338
862	8373	1329
863	8382	1319
864	8393	1309
865	8403	1300
866	8414	1290
867	8425	1281
868	8436	1271
869	8446	1262
870	8455	1252
871	8464	1242
872	8475	1232
873	8485	1223
874	8494	1213
875	8504	1203
876	8513	1194
877	8522	1184
878	8532	1174
879	8541	1164
880	8551	1155
881	8561	1145
882	8570	1135
883	8581	1126
884	8590	1116
885	8600	1106
886	8610	1096
887	8620	1087
888	8629	1077
889	8638	1067
890	8648	1058
891	8659	1048
892	8669	1038
893	8678	1029
894	8688	1019
895	8697	1009
896	8707	999
897	8717	990
898	8726	980
899	8735	970
900	8745	960
901	8754	951
902	8763	941
903	8773	931
904	8782	921
905	8791	912
906	8800	902
907	8809	892
908	8819	882
909	8828	873
910	8838	863
911	8847	853
912	8856	843
913	8865	834
914	8874	824
915	8884	814
916	8893	804
917	8903	795
918	8912	785
919	8921	775
920	8930	765
921	8939	756
922	8949	746
923	8959	736
924	8968	727
925	8978	717
926	8987	707
927	8997	698
928	9007	688
929	9017	678
930	9027	669
931	9037	659
932	9046	649
933	9056	639
934	9066	630
935	9076	620
936	9086	610
937	9097	601
938	9108	591
939	9119	582
940	9132	572
941	9144	563
942	9156	553
943	9169	543
944	9181	534
945	9193	524
946	9204	515
947	9214	505
948	9225	495
949	9236	486
950	9246	476
951	9256	466
952	9266	457
953	9276	447
954	9286	437
955	9296	427
956	9307	418
957	9317	408
958	9329	398
959	9339	389
960	9350	379
961	9360	369
962	9371	360
963	9381	350
964	9392	340
965	9402	330
966	9413	321
967	9423	311
968	9433	301
969	9443	292
970	9453	282
971	9463	272
972	9473	262
973	9482	253
974	9492	243
975	9502	233
976	9511	223
977	9521	214
978	9531	204
979	9542	194
980	9553	185
981	9565	175
982	9577	165
983	9588	155
984	9599	146
985	9611	136
986	9622	126
987	9632	116
988	9642	107
989	9652	97
990	9662	87
991	9672	78
992	9683	68
993	9692	58
994	9702	48
995	9712	39
996	9721	29
997	9731	19
998	9741	9
999	9750	0
