iter	Accuracy	MultiClass
307	0.925749729	0.2163426742
308	0.9258099482	0.2161923745
309	0.926050825	0.2159785433
310	0.9261712634	0.2158201588
311	0.9261712634	0.2157016081
312	0.926050825	0.2155371766
313	0.926050825	0.2153090541
314	0.926050825	0.2151303691
315	0.9259906058	0.2148230795
316	0.9261712634	0.2146994815
317	0.9264121402	0.2144139094
318	0.9265927978	0.2141489738
319	0.9267132362	0.2139721493
320	0.9268938938	0.213861958
321	0.926653017	0.2136441136
322	0.9267132362	0.2134980507
323	0.9268336746	0.2134223632
324	0.926954113	0.2131319417
325	0.9271347706	0.212930341
326	0.9271347706	0.2127288825
327	0.927556305	0.2124720665
328	0.9273756474	0.2121077757
329	0.927556305	0.2117927421
330	0.9276165241	0.2116389271
331	0.9274960858	0.2113652032
332	0.9276767433	0.2111781435
333	0.9277369625	0.2106576792
334	0.9279176201	0.2104053787
335	0.9279778393	0.2101334496
336	0.9279176201	0.2099539257
337	0.9280982777	0.2097371478
338	0.9281584969	0.2095791654
339	0.9283391545	0.2093449414
340	0.9283391545	0.2091248316
341	0.9283391545	0.2089840991
342	0.9284595929	0.2086225521
343	0.9285198121	0.2084182777
344	0.9288811273	0.2081376732
345	0.9289413465	0.207894364
346	0.9288811273	0.2077128147
347	0.9290617849	0.2075342689
348	0.9293026617	0.2073558515
349	0.9292424425	0.207173457
350	0.9291220041	0.2070342668
351	0.9291822233	0.2069017326
352	0.9291220041	0.2067660905
353	0.9293026617	0.2066409237
354	0.9292424425	0.2065391806
355	0.9294231001	0.2063767165
356	0.9292424425	0.2061237676
357	0.9292424425	0.2059887905
358	0.9291822233	0.2058193869
359	0.9294833193	0.2055938528
360	0.9294231001	0.2053896864
361	0.9296037577	0.2051611109
362	0.9295435385	0.2049350988
363	0.9295435385	0.2047736479
364	0.9297844153	0.2046556498
365	0.9296037577	0.2044394439
366	0.9297241961	0.204196803
367	0.9300855113	0.2039779219
368	0.9300252921	0.2037743066
369	0.9300855113	0.2035445552
370	0.9300252921	0.2033014754
371	0.9302059497	0.2031897143
372	0.9301457305	0.2030330818
373	0.9303263881	0.2028465132
374	0.9303263881	0.20274826
375	0.9305070456	0.20259541
376	0.9305672648	0.2023723035
377	0.930627484	0.2021110278
378	0.9308683608	0.201916265
379	0.9309887992	0.2017195569
380	0.9309887992	0.2015692158
381	0.9308683608	0.2014100516
382	0.9310490184	0.2012696102
383	0.9308081416	0.2011457861
384	0.93092858	0.2010414094
385	0.9311694568	0.2009448295
386	0.9311092376	0.2007419139
387	0.9313501144	0.2006588424
388	0.9314705528	0.2004719101
389	0.9310490184	0.2003605546
390	0.9312898952	0.2001891704
391	0.931530772	0.1998998597
392	0.931530772	0.1997742464
393	0.931530772	0.1995981381
394	0.9320125256	0.1993947384
395	0.9317716488	0.1993243747
396	0.9317716488	0.1991098704
397	0.9323136216	0.198962841
398	0.9322534024	0.1986554387
399	0.9323738408	0.1984738172
400	0.9326147176	0.1982946953
401	0.9325544984	0.198189247
402	0.9325544984	0.1980172656
403	0.9326749368	0.197893455
404	0.9328555944	0.1976859719
405	0.9327953752	0.1974721432
406	0.9331566904	0.1972962671
407	0.9329760328	0.1971578849
408	0.9331566904	0.1970708862
409	0.9331566904	0.1968759171
410	0.9332771287	0.1966700565
411	0.9332771287	0.1965673599
412	0.9330964712	0.1963584384
413	0.9332169096	0.1961750103
414	0.9333373479	0.1959963352
415	0.9333975671	0.1957928334
416	0.9333373479	0.1956121705
417	0.9333975671	0.1954570218
418	0.9334577863	0.1952851856
419	0.9333373479	0.1951876926
420	0.9333373479	0.1950492596
421	0.9333975671	0.1949332596
422	0.9334577863	0.194748514
423	0.9335180055	0.1944235076
424	0.9335180055	0.1941840676
425	0.9334577863	0.1940253896
426	0.9336986631	0.1939048095
427	0.9335782247	0.1937320365
428	0.9336384439	0.1935968871
429	0.9336986631	0.1935195812
430	0.9336986631	0.1933559109
431	0.9337588823	0.1932523973
432	0.9337588823	0.1931805875
433	0.9339997591	0.1930783652
434	0.9341804167	0.1928298674
435	0.9341804167	0.1926284541
436	0.9341201975	0.1924930836
437	0.9345417319	0.1923382659
438	0.9344815127	0.1922132567
439	0.9343610743	0.1920511791
440	0.9344815127	0.1917938296
441	0.9344815127	0.1916653848
442	0.9345417319	0.1915055408
443	0.9347223895	0.1913510517
444	0.9346019511	0.1911637312
445	0.9349632663	0.1909383782
446	0.9350234855	0.1908261535
447	0.9349632663	0.1906608703
448	0.9351439239	0.1905700882
449	0.9350234855	0.190479829
450	0.9352643623	0.1902259401
451	0.9353245815	0.1899278338
452	0.9352041431	0.1898448154
453	0.9353848007	0.1895368845
454	0.9353848007	0.1893231556
455	0.9354450199	0.1892065116
